movie_id,description,language,rating,writer,director,cast,genre,name,,,,,
tt3495026,Gaurav a huge fan of movie star Aryan Khanna heads to Mumbai in order to wish his God a happy birthday. When things don't go according to plan Gaurav's obsession with Aryan crosses the line., Hindi ,7.5, Maneesh Sharma Habib Faisal ,"[ ""Maneesh Sharma"" ]", Shah Rukh Khan Sayani Gupta Chris Martin Hill Paul Blackwell Lee Nicholas Harris Zachary Coffin Noni Harrison Farah Ahmed Gino Picciano Jack Gover Mariola Jaworska Shriya Pilgaonkar Raj Awasti Gioacchino Jim Cuffaro Miroslav Zaruba ," ""Action"", ""Drama"", ""Thriller"" ",Fan,,,,,
tt4387040,When Iraq invades Kuwait in August 1990 a callous Indian businessman becomes the spokesperson for more than 170000 stranded countrymen., Hindi Arabic Malayalam ,8.4, Raja Menon Ritesh Shah ,"[ ""Raja Menon"" ]", Akshay Kumar Nimrat Kaur Kumud Mishra Prakash Belawadi Inaamulhaq Lena Nissar Khan Ninad Kamat Kaizaad Kotwal Feryna Wazheir Ajay Kumar Purab Kohli Gunjan Malhotra Pooja Nair Taranjit Kaur ," ""Action"", ""Drama"", ""History"" ",Airlift,,,,,
tt0075860,After an encounter with U.F.O.s a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.,  French Spanish Hindi ,7.7, Steven Spielberg ,"[ ""Steven Spielberg"" ]", Richard Dreyfuss Franois Truffaut Teri Garr Melinda Dillon Bob Balaban J. Patrick McNamara Warren J. Kemmerling Roberts Blossom Philip Dodds Cary Guffey Shawn Bishop Adrienne Campbell Justin Dreyfuss Lance Henriksen Merrill Connally ," ""Drama"", ""Sci-Fi"" ",Close Encounters of the Third Kind,,,,,
tt1187043,Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them idiots., Hindi  ,8.4, Rajkumar Hirani Abhijat Joshi ,"[ ""Rajkumar Hirani"" ]", Aamir Khan Madhavan Sharman Joshi Kareena Kapoor Boman Irani Omi Vaidya Mona Singh Javed Jaffrey Parikshat Sahni Olivier Lafont Rahul Kumar Amardeep Jha Farida Dadi Mukund Bhatt Chaitali Bose ," ""Comedy"", ""Drama"" ",3 Idiots,,,,,
tt4169250,The untold story of, Hindi ,8.2, Neeraj Pandey Dilip Jha ,"[ ""Neeraj Pandey"" ]", Disha Patani Sushant Singh Rajput Anupam Kher Kiara Advani Kumud Mishra Bhoomika Chawla Rajesh Sharma Herry Tangiri Kali Prasad Mukherjee Kranti Prakash Jha Brijendra Kala Zeeshaan Mukesh Bhatt Sarvadaman Banerjee Joginder Sharma ," ""Biography"", ""Drama"", ""Sport"" ",M.S. Dhoni: The Untold Story,,,,,
tt1010048,A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of Who Wants to be a Millionaire?,  Hindi French ,8, Simon Beaufoy Vikas Swarup ,"[ ""Danny Boyle"", ""Loveleen Tandan"" ]", Dev Patel Saurabh Shukla Anil Kapoor Rajendranath Zutshi Jeneva Talwar Freida Pinto Irrfan Khan Azharuddin Mohammed Ismail Ayush Mahesh Khedekar Jira Banjara Sheikh Wali Mahesh Manjrekar Sanchita Choudhary Himanshu Tyagi Sharib Hashmi ," ""Drama"" ",Slumdog Millionaire,,,,,
tt0454876,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away he forms an unexpected connection with another survivor: a fearsome Bengal tiger.,  Tamil French Japanese Hindi Chinese ,8, Yann Martel David Magee ,"[ ""Ang Lee"" ]", Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain Tabu Ayaan Khan Mohd. Abbas Khaleeli Vibish Sivakumar Rafe Spall Grard Depardieu James Saito Jun Naito Andrea Di Stefano Shravanthi Sainath ," ""Adventure"", ""Drama"", ""Fantasy"" ",Life of Pi,,,,,
tt3741834,A five-year-old Indian boy gets lost on the streets of Calcutta thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later he sets out to find his lost family.,  Bengali Hindi ,7.5, Saroo Brierley Larry Buttrose ,"[ ""Garth Davis"" ]", Rooney Mara Nicole Kidman Dev Patel David Wenham Nawazuddin Siddiqui Aditya Roy Kapoor Tannishtha Chatterjee Pallavi Sharda Eamon Farren Priyanka Bose Benjamin Rigby Menik Gooneratne Sunny Pawar Deepti Naval Emilie Cocquerel ," ""Drama"" ",Lion,,,,,
tt5571734,When three young women are implicated in a crime; a retired lawyer steps forward to help them clear their names., Hindi ,8.6, Aniruddha Roy Chowdhury Ritesh Shah ,"[ ""Aniruddha Roy Chowdhury"" ]", Tapsee Pannu Kirti Kulhari Andrea Tariang Amitabh Bachchan Piyush Mishra Angad Bedi Vijay Varma Raashul Tandon Tushar Pandey Dhritiman Chatterjee Mamata Shankar Amit Baisoya S.K. Batra Prashant Bhagia Arjun Chakraborty ," ""Drama"", ""Thriller"" ",Pink,,,,,
tt5713232,A man named Nirmal loses his family in a man-made disaster he starts the journey of seeking answers asking for accountability which urges him to take revenge., Hindi ,7.8, Shailja Kejriwal Ritesh Shah ,"[ ""Nishikant Kamat"" ]", Irrfan Khan Jimmy Shergill Vishesh Bansal Tushar Dalvi Nitish Pandey Kedar Bagaria Manoj Bakshi Sunil Bedi Rajat Bhalla Satyajit Bhattacharya Akash Dabas Jitendra Gupta Rajiv Gupta Vikas Jain Sadhil Kapoor ," ""Adventure"", ""Crime"", ""Drama"" ",Madaari,,,,,
